书名,作者,更新到,简介,详细连接,封面图
九阴武霸,江南春公子,第五百三十一章 唤醒战神守卫（大结局）,聂风在一觉醒来后发现自己却在一个根本不认识的世界，自己的灵魂躺在一个死裸着的全身白皙如玉的身体里，四...?详细>>,http://book.km.com/shuku/1390211.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
魔剑姬物语,彤雨,292 结局（下）,他，是罗西亚王国的第一王子，尤格.米克特，容貌英俊，文武全才，是一个十分完美的男子，但是，如今已经二...?详细>>,http://book.km.com/shuku/1388871.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神明大人的悠哉日常,怪化猫,番外：雪与孩童与狐狸,家住在日本的少年，为了上学来到京都，却不料自己的外婆竟然是稻荷大神，而且因为外婆的一句话，少年就这样...?详细>>,http://book.km.com/shuku/1324053.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
焚天弑神,夏三丰,完结感言！,他狂妄，有那个资本：“因为他还有着一个外号，叫暗枭。”他狠绝，有那个手段：“斩草要除根，敌人，我一个...?详细>>,http://book.km.com/shuku/144171.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
无限掌控,魔尊,第三百五十八章 震撼,一片神秘的大陆，一个个强横无比的绝世强者！出生在混元大陆的他，能否留下属于自己的传说。少年的坎坷并没...?详细>>,http://book.km.com/shuku/933964.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
尘根,水叶子,第一百一十六章  刑罚,古典仙侠类新书《大道》已上传，书号：1614150。内容简介：孤云野鹤闲活计，清风明月道生涯。千山磊...?详细>>,http://book.km.com/shuku/153108.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
风水大师闯异界,冬雪晚晴,后记,一直感慨地球上属于和平世界，崇尚金钱之上，没有妖魔鬼怪，让他一身玄术、武功没有用武之地的袁浅析，被一...?详细>>,http://book.km.com/shuku/153208.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
暴力牛魔王,泰平绅士,后记,我是内家形意拳大师，我是穿越者叶寒，我是战斗中的人肉搅拌机，我是铁蹄部落牛头人凯特尔......热血...?详细>>,http://book.km.com/shuku/356947.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异界之无上仙威,眯乐玄雀,后记,一个修炼阵法的小胖子，因为渡劫失败穿越到了异界，这是一个斗气与魔法的世界，然而受限于附体的身躯无法修...?详细>>,http://book.km.com/shuku/167853.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超警,六划先生,第三百九十四章   结束亦是开始,主角在一次机缘巧合之下拥有了“附控身影”的异能，可以根据生物留下的身体组织碎片，附身到对方的影子上，...?详细>>,http://book.km.com/shuku/1289713.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
太古争仙,禅破人生,第六百零九章：融入其中,阴阳乱，太古变！至上古古神大战之后，太古大变，图腾兴起，妖魔横行。一个从大山里走出的少年夜凡，一个背...?详细>>,http://book.km.com/shuku/1357010.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异界杂货铺,墨霏,第六百五十二章 神庙（4）,勒天在十八岁生日那天，被一个超级智脑搞穿越了，成为了十方界最弱的存在。人家是穿越，他是被穿越。人家是...?详细>>,http://book.km.com/shuku/693297.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
越战的血,远征士兵,完本感言,一个在现代只知道花天酒地的纨绔子弟，来到了他父亲所在的对越自卫反击战时代，他又会怎样面对这样一个血与...?详细>>,http://book.km.com/shuku/377262.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
蛮荒大魔神,三俗之首,第179章 未免太快,上世的纨绔子弟，神级败家，穿越到蛮荒大陆。这里是武力为尊的世界，蛮兽同行，神魔共舞！可悲的是穿越进入...?详细>>,http://book.km.com/shuku/1349399.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
后锋,古龙岗,第二百四十九章 一统,由东南亚的海滨，突然跑到了冬季东北欧的顿河冰层之下，侥幸未死，楚钟南开始了自己的回国之路。但是，他已...?详细>>,http://book.km.com/shuku/162150.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
暴牧女王,抹茶奶昔,396 新副本番外（下）,异界修仙女王突破瓶颈失败，穿越到2350年之后化身游戏小白进入全息网游……左手匕首，右手法杖，可奶可...?详细>>,http://book.km.com/shuku/933441.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
万界系统,弥煞,第六百零二章 结束和开始（大结局）,GTA5中，他是拿着突击步枪勇闯联邦储蓄的绝世大盗。超能失控中，他喜得念力，挥手间大楼倾塌，大地破碎...?详细>>,http://book.km.com/shuku/864014.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
永生大帝,云飞,五一快乐,卑微少主，怒发生死大誓，誓要三年之内，踏仙宗救出未婚妻。且看少年身负至尊战骨，登天路，踏歌行，永生不...?详细>>,http://book.km.com/shuku/1338321.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
星斗破天,萧逝水,第88章：三年飞逝,他，而立之年，问鼎九州巅峰第一人，翩翩少年，红颜绕转独心系于她，却遭天妒忌，劫难之下而身死道消，与阎...?详细>>,http://book.km.com/shuku/13077.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异世之邪神,s染指风情,参与年会投票，赢iPhone 4S大奖,末世，一个邪恶与正义的化身，一件神的力量和妖的唯美完全契合的完美艺术品。星云大陆，修武者的天堂，潼渊...?详细>>,http://book.km.com/shuku/367586.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
热血雄途,嗜血渊虹,8月更新计划！（本章内容免费）,他，有着一个让世人仰望的背景；他，有着一帮生死与共的兄弟；他，更有着一堆惊艳极品的校花；他，还有着一...?详细>>,http://book.km.com/shuku/371274.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
气修混沌身,千允丞,第二百零六章 大结局,"天地初开，神魔动乱，时间混乱几千年，而后天地变更，人,魔,神,鬼,妖,仙六界将世间瓜分为六个不同的位...?详细>>",http://book.km.com/shuku/371709.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
武破苍穹,破苍天,第四十五章　神奇小兽,天道沦丧，魔道永昌。一次塔顶奇遇，让一个从小便是废柴的林辰一跃成为众人口中的天才。拥有令人惊羡的习武...?详细>>,http://book.km.com/shuku/1328275.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异界战神,肌肉狼,第605章 我的名字,逆月世界以武为尊，以力服人。张良作为喜文厌武的奇葩，饱受摧残，直到父亲重伤，他才奋发图强，与不屈龙魂...?详细>>,http://book.km.com/shuku/1327739.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
透视阴阳神医,尸妖领舞,第604章　叶陵我要,能透视，懂阴阳；会医术，修武学！叶陵意外获得上古传承，从此开启了他不一样的人生！美女，把你的棉袄放下...?详细>>,http://book.km.com/shuku/1491512.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
写手无敌系统,若沐大大,三百三十八章 本心！(上),换个简单易懂的简介吧。这是一本披着系统的励志职场小说，因为是新人练笔之作，写着写着强加了不少自己的思...?详细>>,http://book.km.com/shuku/1485037.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
网王之青梅入怀,季时暮,第210章 番外 大结局 青梅入怀,作为一个在家门口都能迷路的绝世大路痴，夏目柒夜却有一个独特的技能，那就是无论手冢国光在哪儿，她都能轻...?详细>>,http://book.km.com/shuku/1482862.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
末法虫师,下楼穿秋裤,第1015章拉开序幕,可怕凶猛的妖兽，残暴狰狞的丧尸，丰腴魅惑的妖姬，拥有种种奇异能力的异能者，奇妙神奇的秘境，丰富多彩的...?详细>>,http://book.km.com/shuku/1480073.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
进击吧哥哥,木木狂歌,卷5章37 夜话,随着超能力者主动从历史的帷幕后走出来，能力的时代到来。在这个充满未知和变动的新时代，一个本来只想守着...?详细>>,http://book.km.com/shuku/1479212.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
穿越万界至尊,宋扇,第393章 天幻十五式,【诸天分身系统流？重生异界，徐铭身怀两大金手指。属性添增、穿梭时空。神魂夺舍一个个低武、中武、高武、...?详细>>,http://book.km.com/shuku/1476345.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重生之主宰时空,本凡人,第四百七十一章拿回月光宝盒,【2017年百万人追更的最火的娱乐爽文】啥？世界流行音乐之王？“不不１林飞摇了摇头，“那只是我的一个...?详细>>,http://book.km.com/shuku/1468849.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
仙武大明星,上江君,第837章 一念花开,王铮不仅穿越了，还发现自己的右手能从自己拍摄的影片中取出各种物品来。这下王铮牛逼了！资质不好？先来个...?详细>>,http://book.km.com/shuku/1468809.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的贴身女巫,八百八十八度,完结感言,帮助女王统一帝国后，身为骑士象征的西蒙被神秘人诅咒，陷入无限轮回的过去。面对无尽黑暗的逼近……他高筑...?详细>>,http://book.km.com/shuku/1468588.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
革命吧女神,草上匪,八百二九 卡琳的突破与费共的一贯画风,李奇被革命女神丢到异世界，这里漫天神魔，超凡如狗，奋斗出个吃香喝辣的前程就很辛苦了，女神却要他在这里...?详细>>,http://book.km.com/shuku/1460308.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天道皇朝,冷羽秋,第二百九十章,林逸轩穿越了，并成为一个皇朝的皇子，但是这似乎并不是幸运，因为他穿越的是修士横行的世界，在这个世界中...?详细>>,http://book.km.com/shuku/187692.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
都市装逼修仙系统,烟燃,350章 渡劫期超级强者 铁魔,【2017火爆爽文】一名学渣在微信上意外的抽到了一套装逼修仙系统，从此开启逆袭之路，学渣变学霸，修仙...?详细>>,http://book.km.com/shuku/1443453.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
疯狂神豪玩科技,为情成痴,新书已发《不朽永尊》,老司机翻车，居然蹦出个‘土豪系统’。做任务，抽大奖，疯狂散财玩科技，一不小心，苏诚就成了神级土豪。“...?详细>>,http://book.km.com/shuku/1439114.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神级保安俏总裁,快跑小蜗牛,第169章 绝境反击,【火爆新书，年度必读】天门弟子叶锋，误入红尘花都。自此和女总裁过上了水火不容的悲惨生活。内有娇妻白眼...?详细>>,http://book.km.com/shuku/1421991.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
发个红包去三界,尼古拉斯赵四,第466章 获得仙位（大结局）,什么玩意儿？天上有红包？我抢！雷电符？齐天大圣猴毛？这些是什么玩意儿？什么？嫦娥姐姐要和我诉说寂寞？...?详细>>,http://book.km.com/shuku/1416050.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
修罗使徒,千封,第五百七十章 将军的不安,人的出生不可选择，人世间从来都没有高低贵贱之分，也没有天才和废物的分别，人人平等，坚守正义，珍重友情...?详细>>,http://book.km.com/shuku/1415501.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
三界微信群,精神分裂,第1227章 今晚的月亮很好,李当归本以为他的一生都将在平庸中度过，直到他被拉进了一个神奇的微信群。这里的神仙会吹牛，会撕逼，还会...?详细>>,http://book.km.com/shuku/1415270.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
抗战老兵之不死传奇,寂寞剑客,后记,他们以自己的胸膛迎向日寇的刺刀，却把后背留给同胞，他们把死亡留给自己，却把生的机会留给妻儿老小，为了...?详细>>,http://book.km.com/shuku/291793.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级红包抽奖系统,寂寞的小和尚,第316章　大结局,穷小子李宇拯救校花得红包系统认主，他的生活发生了翻天覆地的改变，极品美丽校花、爆乳萝莉警花，霸道高傲...?详细>>,http://book.km.com/shuku/1413381.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
拳坛巨星,无限循环,完结感言跟《筑梦空间》,在中国传统武术没落的今天，一位中国拳王横扫职业拳坛。重生06年的黄一飞，将咏春寸劲和太极吐纳跟拳击完...?详细>>,http://book.km.com/shuku/1413266.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
地球最后一个男人,红名天下,第940章 帝临都市,（火热新书《超级红包游戏群》）身为地球最后一个男人，小王同志压力山大。面对几十亿如狼似虎的女人，面对...?详细>>,http://book.km.com/shuku/1412946.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
小农民混都市,菜大鸟,第423章：农展的对决,天生盘龙命格，承载卧虎风水的王凯，某一天被一个雷给劈重生了。当年打过他脸的人，乖乖出来吧，他一定会好...?详细>>,http://book.km.com/shuku/1412770.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
狂暴升级系统,把酒凌风,第九百二十一章  结局！破碎巅峰！,沧澜大陆，万灵修武成道者，碎星河，破苍穹，动乾坤。地球的游戏天才秦霜因怒摔键盘而被电死，魂穿异界，获...?详细>>,http://book.km.com/shuku/1412568.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
纯情打工仔,我本纯洁,第四百三十四章 终章！,深山走出来的纯洁少年，为了适应都市生活，开始打工的生涯，可怜的纯洁英俊少年很快便被各种女神纷纷来骚扰...?详细>>,http://book.km.com/shuku/1408791.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重生之神级明星,楼下赫本,完本感言暨新书预告,一觉醒来，网络写手李青惊愕的发现，历史的车轮走错了方向，周遭物事人非也就罢了，自己竟然也摇身一变，成...?详细>>,http://book.km.com/shuku/1393360.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
位面祭坛,暗石,786 全家团聚（大结局）,掌控神秘祭坛，献祭一切物品，收获万千珍宝。冰种翡翠、百年人参，也许献祭一袋大米就能得来。夏商青铜鼎、...?详细>>,http://book.km.com/shuku/1393326.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
小农民的随身道田,昨日小雨,第二千零六十八章 提线木偶（大结局）,田二苗在异界活了三百年回归地球，开启一段绚烂旅程。?详细>>,http://book.km.com/shuku/1393205.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
焚天剑神,免费的午餐,完结感言,一粒沙可遮天地万物，一滴水可淹世间生灵。一念乾坤生，一念穹苍灭。一念岁月止，一念浮屠逝。少年身怀上古...?详细>>,http://book.km.com/shuku/1391430.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
剑武乾坤,山中一蓑翁,第534章：武尊（完结了！）,被宗门遗弃，得神秘玉剑，开吞噬域门，林夕尘踏上逆天之路。神秘莫测的风家，隐藏的是什么？隐世万年的林家...?详细>>,http://book.km.com/shuku/1390315.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
无敌升级系统,红衣朱雀,第三百二十五章 既是结束，也是开始,任何武技我无师自通，任何敌人我一刀斩杀，任何神女，都要臣服于我脚下！地球的游戏设计师杨修，身怀无敌系...?详细>>,http://book.km.com/shuku/1389121.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
完美时代,江南雪猫,新书上传了，求下各位的点击收藏，谢谢！,天地万物皆有灵，他相信在这个以灵力、法器为尊的时代，草木沙石、飞禽走兽皆可聚天地灵气而修行，修而有成...?详细>>,http://book.km.com/shuku/1340489.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
如果天空会流泪,黛颦儿,第48章 尾声(2),母亲改嫁入豪门，她莫名其妙多了个毫无血缘的弟弟。相识第一天，她被那个帅气邪恶的坏小孩公然夺去初吻；回...?详细>>,http://book.km.com/shuku/1383809.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
幻神巅峰,大史学家,第二十五章 路遇与专候,这是一个幻神为尊的世界，天生精神力极强的少年，一开始就能幻化出三个分身，被称为绝世天才，这是一个天才...?详细>>,http://book.km.com/shuku/1377914.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
狂傲战神,汉隶,第947章 老三【全书完】,资质平庸的少年，获得机缘造化，自此脚踏天骄，醉卧美人。这一生为了不留遗憾，尽管双手沾满了鲜血，也改变...?详细>>,http://book.km.com/shuku/1377044.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
狼行都市,黑骑士,第二百一十一章 群狼啸,他、是一个英俊潇洒、性格顽劣的都市少年！它、是一只啸傲山林、让虎豹俯首的银色巨狼！这两者结合到一体进...?详细>>,http://book.km.com/shuku/1376966.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
农夫凶猛,翔子OL,第181章 你来对付,最穷不过要饭，不死总会出头。不富贵、不还乡……这一年丁一选择走出大山带着最庸俗的想法初次进城，一切都...?详细>>,http://book.km.com/shuku/1376960.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
无敌之最强修士,岳奇豪,第一百六十一章  意外大结局,蛮荒战场，各尊大神云集。在这个地方，只认强者！为了生存，必须与天地相斗。纵有修仙者，可得万年长寿，也...?详细>>,http://book.km.com/shuku/1376924.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
至高圣皇,姑苏大侠,第二四二 魔族走狗,无尽剑海中灭世神兵千世长吟；诅咒山脉中镇压着百万米的巨龙遗骸；堕落深渊中失去神智的万古妖王在咆哮；崩...?详细>>,http://book.km.com/shuku/1376040.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
九州牧云录,管平潮,十二卷『繁华逐逝水东流』第三十四章 相濡以沫，不若相忘江湖,《仙路烟尘》作者新作，清新欢乐仙侠！.......﹀︸﹀..○.....﹀︸.....︸....︸_...?详细>>,http://book.km.com/shuku/172257.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
三国之生化狂人,堂燕归来,完本感言及新书预告,携带生化病毒的军方飞机坠毁，不幸身亡的机组人员，穿越成了袁绍的一名身患残疾，不受待见的私生子袁方。内...?详细>>,http://book.km.com/shuku/1070770.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
楚汉争鼎,寂寞剑客,结束感言,绰号“屠夫”的解放军老兵于一场边境冲突中牺牲，灵魂穿越到了楚汉相争的年代，并且成了项羽的堂弟项庄。此...?详细>>,http://book.km.com/shuku/144384.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
361度绝杀,楚凤鸣秋,完结章  进，君临天下？退，东山再起？,身高命注定，速度如风影。远投百尺外，得分无穷荆可叹有伤病，不尽胜负心。一朝涅槃时，必叫天下鸣。扼住命...?详细>>,http://book.km.com/shuku/170355.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
星际传承,吴杰超,新书上传求支持,在虫族、生化兽和辐射的威胁下，移动都市成为了人类最后的净土……?详细>>,http://book.km.com/shuku/169218.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
曹彰大帝,公孙白马卫,二三八  曹宪的报答,曹魏缺了什么？才让司马家篡了位？不是谋臣，不是武将，不是天时，不是地利！我一直不知道，到底缺了什么，...?详细>>,http://book.km.com/shuku/160901.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
酷跑骑士斗魔王,荒晓,第五十九章 前世今生【终章】,本小说是关于手机上一款火热游戏《天天酷跑》的同人冒险、魔幻小说，剧中，经典角色金枪｛箭｝小帅、魔女娜...?详细>>,http://book.km.com/shuku/1072154.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重装机神,极品五毛,第十二章 近战取胜,人类殖民太阳系的宇宙大航海时代，失去了核武创造的恐怖平衡，也因此彻底颠覆了过去的那一套文明法则。弱肉...?详细>>,http://book.km.com/shuku/1150480.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
大泼猴,甲鱼不是龟,完本了。,这个世界上总有那么一些人，他们英勇无畏，固执，乃至偏执，不羁，骄傲，而又狂妄。即使到了绝境，他们也绝...?详细>>,http://book.km.com/shuku/1134761.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异界之极品奶爸,圣骑士的传说,第四百八十七章 幸福，请你紧紧的把握（大结局）,【起点一组出品】小说，讲述了一名身怀绝技的奶爸在异界的故事。他让异界的人知道了从奶爸到爸爸的全过程！...?详细>>,http://book.km.com/shuku/151007.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
热血都市,疯狂的其子,意外的意外3,4个人Pk200多人，单枪匹马越货交易，暗黑之夜直捣黄龙，是的你没有看错，这就是一个卧底勾心斗角的真...?详细>>,http://book.km.com/shuku/1335723.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天才保镖,梵帝森,第133章　大结局,为了神秘的约定，他被无情派回到校园。他平凡，他也渴望拥有，刻骨铭心的亲情，真挚感人的爱情，温情暖心的...?详细>>,http://book.km.com/shuku/1333456.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级火神,心狐野禅,第五卷 最终一战一百零九章功成身退,我本无名，奈何天命，西里湖涂也成神。四海驰骋，花丛纵意，圣女公主做情人。天地任行，扭转乾坤，英雄豪杰...?详细>>,http://book.km.com/shuku/364024.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
太上无极,芸辞梦颍,第71章破开封印,纵观世界文化，希腊的奥林匹斯山，欧美的诺亚方舟，一个个英雄人物清晰的展现在大家的面前，古老的东方神秘...?详细>>,http://book.km.com/shuku/363821.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
追美金手指,易无书,第六百章  大结局,韩耿是一名普通高中生，外表忠厚老实，实则花心大盗，看起来平凡的韩耿，拥有者不平凡的能力，他可以复制任...?详细>>,http://book.km.com/shuku/372099.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天极变,小李探花郎,第215章 地府,天地剧变，地球开启新的纪元，科技文明时代没落，修炼时代兴起。一个平凡少年叶非，在这乱世之中艰苦求存，...?详细>>,http://book.km.com/shuku/1504428.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝品狂少,西门吹雪,【0783】大结局,华夏国北方的小山村出生的小色男西门宏历，意外偶遇世外高人传授秘传之术，从此身体机能大幅提高并具异能，...?详细>>,http://book.km.com/shuku/1491550.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
灵魄战神,天枢,第293章 事了别离,万年前，他是人人敬仰的千古父神。万年后，他是人人可欺的凡夫俗子。幽梦万载，一朝惊醒，重活一场，当不负...?详细>>,http://book.km.com/shuku/1490496.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
八荒帝神,北冥神鲲,新书《天地圣龙决》,神若无道，我屠神；天若不公，我换天。少年修神诀，踏天骄，称尊六合八荒，神魔俯首，我为帝神。?详细>>,http://book.km.com/shuku/1488283.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天上掉下个空间塔,冰原三雅,557章野餐，略浮夸的烧烤名,一个对生活失去希望的伪宅，一个未知纬度空间掉下来的法师塔，一段重新燃起希望的生活，这是一个伪宅如同小...?详细>>,http://book.km.com/shuku/1485701.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强礼包系统,玉飞,第386章 暴打熊孩子,穿越到异界，陈默发现自己携带了一个礼包系统，而且还能看到虚拟礼包，但必须要亲自点一下才能开启，于是乎...?详细>>,http://book.km.com/shuku/1484361.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神级大药师,微了个信,第四百七十四章 净化术是啥？,苦逼医学僧李东被系统钓鱼了面对随时可能被废掉的惩罚，李东表示：不要怂，生死看淡，就是干?详细>>,http://book.km.com/shuku/1480849.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
西游大圣传,齐天蟠桃,第707章 黄风岭、黄袍怪！,穿越西游，成无敌大圣，斗漫天神佛，战万古洪荒！“想当年，老孙凭一根铁棒，打碎天庭，掀翻雷音，搅得三界...?详细>>,http://book.km.com/shuku/1473360.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神豪散财系统,岁月长流,第281章 蹭红毯,获得散财系统，做系统的逗比任务，抽大奖。逛逛网络直播，挥金如土。闲暇时看网络小说，打赏黄金盟主。无聊...?详细>>,http://book.km.com/shuku/1467191.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝品功夫兵王,十年灯,第784章犯错就要挨打,身为无敌兵王，却被要求假扮顶替别人的身份回归都市，柳浪很不爽埃虽然被顶替的人有一个美若天仙的总裁未婚...?详细>>,http://book.km.com/shuku/1457915.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
校园纯情邪医,余不生,终章：他改变了这个世界,漂亮的皮囊千篇一律有趣的灵魂万中无一你转身向北，侧脸依然很美。?详细>>,http://book.km.com/shuku/1454288.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
西游之水灵大圣,梦幻西游世界,再战仙侠!推荐新书【重生啸天】,徐水天是一名特种兵在一次打击盗墓皇陵任务中牺牲了，当他醒来的时候，他已经成为了一条大河之中的一滴水，...?详细>>,http://book.km.com/shuku/1454007.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
不败圣王,九宫魂,第455章 破封印（大结局）,【求月票】他无法修炼真元力，在神州帝国乃是一位远近闻名的废物。家族落寞，遭人唾弃，少年心中压抑着无尽...?详细>>,http://book.km.com/shuku/705953.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
校花的极品侍卫,天涯远意,第二百三十三章：益阳四鬼来袭！,【免费火爆新书？非洲战场上的杀神回归，继承家族医术，强势踏入都市校园。在美女如云的校园之中，他醉卧美...?详细>>,http://book.km.com/shuku/1452638.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
球魁,孤独浪人,尾声,【创世8组签约作品】灌篮，上篮，三分，一气呵成的潇洒。助攻，篮板，挡拆，团队竞技的魅力。抢断，盖帽，...?详细>>,http://book.km.com/shuku/717463.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
限制级巨星,不如踢球,第1102章 直接粗暴的,我胖？我还猥琐呢。贪财？我还手黑呢。这是一个猥琐的胖子带着系统闯荡足坛的故事。限制级订阅群：5541...?详细>>,http://book.km.com/shuku/1414619.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神级大魔头,拉姆,第1636章 封印之地,“无耻夏平，抢我秘籍，夺我丹药，夺我未婚妻，我和你不共戴天。”“他是武道之耻，人类蛀虫，是人渣败类。...?详细>>,http://book.km.com/shuku/1414589.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
裁决游戏,小煜,裁决游戏完结番外（二）,参加这场游戏，赢家可以获得你想要的任何东西。28个大学生怀揣各自的想法进入封闭的教学楼，进行杀人与审...?详细>>,http://book.km.com/shuku/1336621.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
龙血战尊,李同学,第176章　大结局,天极大陆，实力为尊，一代猛人龙战天携宝而来，霸道是我的座右铭，嚣张是我的性格，谁若不服打的你服，狗屁...?详细>>,http://book.km.com/shuku/1389887.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神禁时代,缄默是罪,第272章 大结局3,这是一个没有众神的时代，旧的秩序被打破，新的秩序正在诞生＞情节虚构，请勿模仿】?详细>>,http://book.km.com/shuku/984886.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
混在现代的道士,海绵,第一百四十八章 蛊食灵,你为什么肯定，你一生所见的都是人？现代最神秘的职业：道士的吊诡人生！师傅曾问我，世间不平事那么多，我...?详细>>,http://book.km.com/shuku/1377288.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
